drug_name,chembl_id,smiles,MolecularWeight,LogP,HBD,HBA,RotatableBonds,TPSA,activity_value,pIC50
NaN,CHEMBL3671552,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H](C)NC(C)=O,502.3440000000002,4.302900000000004,3,6,8,105.24000000000001,29.0,7.5376020021010435
NaN,CHEMBL5199678,CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncnn4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,698.6069999999996,5.135000000000005,2,11,11,122.04,0.84,9.075720713938118
NaN,CHEMBL5186680,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,694.6189999999999,5.449120000000004,2,11,9,111.64,0.09,10.045757490560675
NaN,CHEMBL5872316,CC(C)c1ccccc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,454.57800000000026,5.244000000000004,2,5,6,98.72,5500.0,5.259637310505756
NaN,CHEMBL5967377,CN(C)C(=O)N[C@@H]1CCCN(c2cnc(C(N)=O)c(Nc3ccc(C4CCN(C5CCCCC5)CC4)cc3)n2)C1,548.7360000000003,4.071200000000002,3,7,7,119.72,5500.0,5.259637310505756
NaN,CHEMBL5920681,CN(C)C(=O)N1CCC[C@@H]2[C@H]1CCCN2c1cnc(C(N)=O)c(Nc2ccc(C3CCN(C4CCCC4)CC3)cc2)n1,574.7740000000002,4.555900000000003,2,7,6,110.93,5500.0,5.259637310505756
NaN,CHEMBL5773640,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCS(C)(=O)=O)cc3)ncc2F)c1,485.5410000000003,4.040900000000002,3,8,11,122.30999999999999,55.0,7.259637310505756
NaN,CHEMBL5439652,Cc1sc([Se]c2sc(C)c(-c3cccc(Br)c3)c2C(=O)NC(CO)C(=O)N2CCCC2)c(C(=O)NC(CO)C(=O)N2CCCC2)c1-c1cccc(Br)c1,951.6619999999994,4.366640000000003,4,8,12,139.28000000000003,94.44,7.024844021593311
NaN,CHEMBL6007810,C=CC(=O)N1CC(Nc2cncc(-c3cnc(Oc4cccc(OC(F)(F)F)c4)nc3)c2)C1,457.4120000000001,4.0382000000000025,1,7,7,89.47000000000001,21200.0,4.673664139071248
NaN,CHEMBL6058524,C=CC(=O)N1CC(Nc2cncc(-c3cnc(Oc4ccc(F)c(Cl)c4)nc3)c2)C1,425.85100000000006,3.932100000000002,1,6,6,80.24000000000001,450.0,6.346787486224656
NaN,CHEMBL5963748,CN(C)C/C=C/C(=O)N1CCC(Nc2cncc(-c3cnc(Nc4cccc(Cl)c4)nc3)n2)CC1,493.0150000000002,3.851300000000002,2,8,8,99.17,6040.0,5.218963061378868
NaN,CHEMBL6162116,CC(C)Oc1cc(Nc2ccnc(-c3cnn(S(=O)(=O)C4CC4)c3)n2)ncc1-c1cn([C@H]2C[C@H](C)N(C)C2)nc1F,581.6780000000002,3.8739000000000026,1,10,9,132.95,13.0,7.886056647693163
NaN,CHEMBL5790497,COc1ccc(C)cc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1F,474.5400000000003,4.576720000000003,2,6,6,107.94999999999999,5500.0,5.259637310505756
NaN,CHEMBL5967745,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnc4c(ccn4C)c3)n2)c(OC)cc1N1CC(N(C)C)C1,533.0360000000002,4.3106000000000035,2,8,8,100.44,121.0,6.91721462968355
NaN,CHEMBL6172339,[2H]C([2H])([2H])n1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N4CCN(C5CCCCC5)CC4)cc3OC)n2)c2ccccc21,568.7403053340005,5.966700000000006,2,7,8,87.55000000000001,59.9,7.2225731776106885
NaN,CHEMBL6169503,[2H]C([2H])([2H])n1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N4CCC(N(C)C)CC4)cc3OC)n2)c2ccccc21,528.6753053340003,5.042400000000005,2,7,8,87.55000000000001,122.6,6.911509529817604
NaN,CHEMBL6142419,Oc1ccc(Br)cc1-c1nc(NCc2ncccn2)c2ccccc2n1,408.25900000000007,4.1670000000000025,2,6,4,83.82000000000001,440.0,6.356547323513812
NaN,CHEMBL6102692,Oc1ccccc1-c1nc(NCc2c[nH]cn2)c2ccccc2n1,317.35200000000003,3.337600000000001,3,5,4,86.72000000000001,4.84,8.315154638355587
NaN,CHEMBL1945444,O=C(NS(=O)(=O)c1ccccc1)c1cncc(Br)c1,341.18600000000004,1.9628,1,4,3,76.13,20190.0,4.69486368105636
NaN,CHEMBL5856597,C=CC(=O)Nc1ccc(Nc2nc(Nc3ccc(OCCOC)c(F)c3)ncc2F)cc1,441.43800000000016,4.391700000000003,3,7,10,97.4,550.0,6.259637310505756
NaN,CHEMBL5779638,COc1cccc(Nc2ncc(C(F)(F)F)c(Nc3cccc(C(=O)C=C(C)C)c3)n2)c1,442.44100000000014,6.140100000000004,2,6,7,76.14,5500.0,5.259637310505756
NaN,CHEMBL5759591,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)c3)ncc2C)c1,644.8020000000004,5.007620000000004,6,9,16,158.39999999999998,55.0,7.259637310505756
NaN,CHEMBL5966417,C=CC(=O)N1CCC[C@@H](c2nc(-c3ccc(Oc4cccc(OC)c4F)cc3)c3cnccn23)C1,472.5200000000002,5.228300000000005,0,5,6,68.96000000000001,550.0,6.259637310505756
NaN,CHEMBL5945215,CC#CC(=O)C1NCCC[C@H]1c1nc(-c2ccc(Oc3cccc(OC)c3F)cc2)c2c(C)nccn12,498.5580000000002,5.072720000000005,1,6,6,77.75,550.0,6.259637310505756
